#X  min q1  median  q3  max width   label   min q1  median  q3  max width   label
1   1.00    1.00    1.01    1.02    1.03    0.25    1   1.00    1.00    1.01    1.03    1.05    0.25    1
2   0.99    0.99    0.99    1.00    1.03    0.25    2   0.99    0.99    1.00    1.00    1.03    0.25    2
3   0.99    1.00    1.00    1.00    1.04    0.25    4   0.99    1.00    1.00    1.00    1.01    0.25    4
4   0.99    0.99    0.99    0.99    1.04    0.25    8   0.99    0.99    0.99    1.00    1.00    0.25    8
5   0.99    0.99    0.99    0.99    1.05    0.25    16  0.99    0.99    0.99    0.99    0.99    0.25    16
6   1.00    1.00    1.01    1.01    1.06    0.25    32  1.00    1.00    1.00    1.00    1.00    0.25    32
7   1.01    1.02    1.02    1.02    1.07    0.25    64  1.01    1.01    1.01    1.01    1.02    0.25    64
8   1.02    1.02    1.03    1.03    1.08    0.25    128 1.02    1.02    1.02    1.02    1.03    0.25    128
9   1.04    1.04    1.05    1.05    1.11    0.25    256 1.03    1.04    1.04    1.04    1.05    0.25    256
10  1.08    1.09    1.09    1.15    1.34    0.25    512 1.08    1.08    1.09    1.09    1.31    0.25    512
11  0   0   0   0   0   0.25    1024    0   0   0   0   0   0.25    1024
