1   1.01    1.01    1.01    1.08
2   0.99    0.99    1.00    1.08
4   1.00    1.00    1.01    1.08
8   0.99    0.99    1.00    1.08
16  0.99    0.99    1.00    1.07
32  1.00    1.00    1.01    1.09
64  1.01    1.01    1.02    1.10
128 1.02    1.02    1.03    1.10
256 1.04    1.04    1.04    1.12
512 3.85    3.88    1.09    1.17
1024    1.19    1.19    1.17    1.25
2048    1.35    1.34    1.38    1.46
4096    1.99    1.99    1.93    2.10
8192    2.42    2.40    2.33    2.58
16384   3.64    3.96    3.46    3.71
32768   5.10    5.12    5.40    5.28
65536   8.42    8.38    8.28    8.44
131072  15.04   15.20   14.91   15.12
262144  28.42   28.19   28.33   28.27
524288  54.51   54.61   54.60   54.58
1048576 109.96  110.12  108.70  107.84
