1   1.96    1.95    2.05    2.13
2   1.75    1.81    1.75    2.12
4   1.7 1.73    1.71    2.08
8   1.69    1.72    1.71    2.1
16  3.24    3.17    3.25    2.12
32  1.87    1.87    1.82    2.14
64  1.9 1.95    1.94    2.15
128 2.01    1.98    1.95    2.24
256 2.06    2.07    2.08    2.33
512 2.28    2.28    2.27    2.56
1024    2.72    2.72    2.7 2.99
2048    3.61    3.6 3.58    3.85
4096    3.51    3.47    3.48    4.23
8192    4.08    4.08    4.07    4.73
16384   5.84    5.75    6.04    6.71
32768   7.75    7.58    7.82    8.56
65536   12.43   13.12   12.2    12.77
131072  21.72   21.14   22.38   22.27
262144  39.32   39.27   39.55   40.23
524288  73.98   71.91   73.29   74.54
1048576 139.45  140.03  141.72  140.22
